id1,id2,mu,sigma,alpha1,beta1,pi1,alpha2,beta2,pi2,age1,age2,species1,species2,sex1,sex2,zoo,dist,cv,delta,u
76,84,117.25149086458464,49.794625849278816,6.576821972953189,3.0576944689608294,1.1920928955078127e-09,17.763512178231487,2.858042871915811,0.1306747943295122,adult,young,Streifengnu,Streifengnu,female,female,14.0,0.0,0.4246822405592038,-250.0,0.9652132915579723
4,6,86.28408414464484,37.50295177417125,3.9249718916586698,2.858309510083828,1.1920928955078134e-09,673.8196219936829,93.81582265133773,0.5844204848157212,adult,young,Kudu,Kudu,female,female,8.0,99.0,0.4346450697825347,,
93,95,101.2135228540843,57.88938426794108,15.61015476896515,3.175737635655001,0.0245161624531732,16.5688517168962,2.415941080050273,0.3314187069420414,adult,young,Rappenantilope,Rappenantilope,female,female,8.0,0.0,0.5719530615627124,8.0,0.9866086585320646
98,100,149.99095017129204,60.97444227659795,7.161081073876362,3.619155707432149,0.1646492791302774,21.54936136848512,3.062612265122898,0.3179262085683405,adult,young,Säbelantilope,Säbelantilope,female,female,4.0,99.0,0.4065208081351852,,
124,130,127.91490697735657,75.30941214316695,4.102610394368833,2.567405746240262,0.0200474388734832,19.53209856012938,2.0382415147075466,0.3343455103970926,adult,young,Wasserbock,Wasserbock,female,female,17.0,0.0,0.5887461744900317,-638.0,0.5278993084446335
125,126,107.04764497124177,33.87529015696771,10.556497183532844,3.978713482652145,0.1638740880830453,6.188783226072518,2.484327542176481,0.0318455948926833,adult,adult,Wasserbock,Wasserbock,female,female,18.0,0.0,0.3164505876431776,337.0,0.7682749386180402
155,160,162.49957501742404,52.004492151264095,3.398020621859652,28.83899690589985,0.2653613051110637,74.80526936816135,164.98523100043096,0.8768238827362661,adult,young,Grevy-Zebra,Grevy-Zebra,female,female,2.0,0.0,0.3200284809710296,-101.0,0.5125578374249949
156,157,147.74316154714876,79.78552490254583,2.876925422776974,10.578841544406565,7.911701749180775e-08,1.6978242536982884,6.30308668922105,0.2059312065195333,adult,adult,Grevy-Zebra,Grevy-Zebra,female,female,7.0,0.0,0.540028547291403,0.0,0.8311531298010004
159,153,157.39619869362707,81.26754859666337,2.098494911001447,3.505041228407061,0.0328172073543645,1.820104139244112,4.514697387550468,0.0208469556094838,subadult,adult,Grevy-Zebra,Grevy-Zebra,male,male,19.0,0.0,0.5163247223959411,-37.0,0.9999999999999999
186,187,113.01980858515996,55.10973851933431,2.194467362462933,3.1527902706790605,0.1419875081092471,1.428482181021985,3.3558043141184783,1.1920930131594647e-09,adult,adult,Steppenzebra,Steppenzebra,female,female,8.0,0.0,0.4876113241495126,113.0,0.6386205721103874
169,192,142.1027175077146,42.92594509268828,5.663095201560192,12.08737138331323,0.1693292769039863,4.773303912449482,6.444728196495039,0.4445504999710321,adult,young,Steppenzebra,Steppenzebra,female,female,18.0,0.0,0.3020768768222738,-71.0,0.9999999999999999
130,119,111.83957966166668,81.0844659482913,15.754946148376655,1.6315391216573192,0.2231761743566251,8.09920495244596,1.7540498365388086,4.7380716821722304e-05,young,adult,Wasserbock,Wasserbock,male,male,,,0.7250068910629429,,
130,114,96.86156096495408,85.51743147206969,15.983629658822048,1.6267563894880692,0.2064235444882609,5.7907768663559045,1.471542075637594,1.3367378615118567e-09,young,adult,Wasserbock,Wasserbock,male,male,,,0.8828830613519757,,
130,113,98.71588364000192,99.78352137946898,12.339859660594373,1.3759354321166533,0.1795726281838252,27.34647531281095,2.065183573971292,0.0874487271882237,young,adult,Wasserbock,Wasserbock,male,male,,,1.01081525789062,,
65,68,80.51634899973101,57.93219128300948,7.022321457285338,1.9605678475399384,0.2949757140374091,15.082653966254842,2.355233262482489,0.0088002641292856,young,young,Blessbock,Blessbock,female,female,,,0.7195084228571147,,
